Name,Qualifications,Fee,Years in Practice,Top Specialties,Expertise,Accepting Clients,Gender,Endorsements,Verified,Bio,Province
Julie-Ann Walsh ,"""Registered Social Worker, MSW, RSW""",130,16,"""Child, Relationship Issues, Parenting""","""Adoption,Anxiety,Behavioural Issues,Codependency,Coping Skills,Depression,Emotional Disturbance,Family Conflict,Grief,Internet Addiction,Life Transitions,Parent/Child,Peer Relationships,Self Esteem,Self-Harming,Sexual Abuse,Stress,Trauma and PTSD,Traumatic Brain Injury (TBI),Women's Issues""",Yes,Female,0,Yes,No,MB
Melissa McIntosh,"""Registered Social Worker, BSW, RSW, MEd""",,,,,Yes,Female,3,Expired,No,MB
Laura Penelope Garcia Stewart,"""Registered Social Worker, BSW, RSW, FOT""",185,,,,Yes,Female,0,Yes,No,MB
Stephanie Woelke,"""Registered Social Worker, BSW, RSW""",110,6,,"""Anxiety,Behavioural Issues,Blended Family,Coping Skills,Depression,Divorce,Domestic Violence,Family Conflict,Grief,Infidelity,Life Transitions,Marital and Premarital,Parenting,Relationship Issues,Spirituality,Stress,Women's Issues""",Yes,Female,0,Yes,No,MB
Funmilayo (Fumi) Majaro,"""Registered Psychotherapist, MA, RP""",160,5,"""Trauma and PTSD, Anxiety, Self Esteem""","""Anger Management,Behavioural Issues,Codependency,Coping Skills,Depression,Domestic Abuse,Domestic Violence,Emotional Disturbance,Family Conflict,Grief,Life Transitions,Mood Disorders,Narcissistic Abuse,Peer Relationships,Racial Identity,Relationship Issues,School Issues,Sleep or Insomnia,Stress,Suicidal Ideation,Women's Issues""",Yes,Female,1,Yes,Yes,ON
Lucia Pecnikova,"""Counsellor, BA, MEd, RCC""",135,,"""Trauma and PTSD, Self Esteem, Relationship Issues""","""Anger Management,Anxiety,Career Guidance,Chronic Illness,Codependency,Coping Skills,Depression,Divorce,Family Conflict,Grief,Identity exploration,Infidelity,LGBTQ+,Life Coaching,Life Transitions,Marital and Premarital,Men's Issues,Peer Relationships,School Issues,Stress,Thinking Disorders,Veterans,Women's Issues""",Yes,Female,2,Yes,Yes,BC
Sonia Dillon,"""Registered Psychotherapist (Qualifying), BsC, MACP, EMDR""",125,,"""Relationship Issues, Trauma and PTSD, Anxiety""","""ADHD,Anger Management,Coping Skills,Depression,Divorce,Domestic Abuse,Family Conflict,Grief,Infidelity,LGBTQ+,Life Transitions,Marital and Premarital,Men's Issues,Obsessive-Compulsive (OCD),Open Relationships Non-Monogamy,Parenting,Racial Identity,Self Esteem,Self-Harming,Sex-Positive - Kink Allied,Stress,Women's Issues""",Yes,Female,6,Yes,Yes,ON
Lauren Middlemiss,"""Registered Psychotherapist, MA, RP, CCC""",150,,"""Relationship Issues, Coping Skills, Infidelity""","""ADHD,Anxiety,Codependency,Depression,Divorce,Emotional Disturbance,Grief,Life Transitions,Marital and Premarital,Peer Relationships,Processing childhood experiences,Self Esteem,Spirituality,Stress,Trauma and PTSD,Women's Issues""",Yes,Female,0,Yes,Yes,ON
Karyl Morong,"""Registered Psychotherapist, MA""",160,4,"""Anxiety, Self Esteem, Relationship Issues, Stress""","""ADHD,Bisexual,Coping Skills,Depression,Emotional Disturbance,Grief,LGBTQ+,Lesbian,Life Coaching,Life Transitions,Men's Issues,Racial Identity,Transgender""",Yes,Female,2,Yes,Yes,ON
Cammi Manchur,"""Counsellor, MCP-AT, CCC, BCATR""",165,6,"""ADHD, Anxiety, Depression""","""Anger Management,Autism,Bisexual,Career Guidance,Codependency,Coping Skills,Creativity,Grief,LGBTQ+,Lesbian,Life Transitions,Meaning Making,Open Relationships Non-Monogamy,Relationship Issues,Self Esteem,Self-Harming,Sex-Positive - Kink Allied,Sexual Abuse,Spirituality,Stress,Suicidal Ideation,Trauma and PTSD,Veterans,Women's Issues""",Yes,Female,2,Yes,Yes,AB
